image_id,specimen_id,split,status,error_reason,confidence,n_detections,x1,y1,x2,y2,x3,y3,x4,y4,processing_time_s,processed_at
622cf37f9463bd75,FR15ABOM150820018,train,OK,,0.8373,1,0.62597656,0.55859375,0.35742188,0.55859375,0.35742188,0.41406250,0.62597656,0.41406250,3.4718,2026-08-25T21:59:16+00:00
54838c3f42c9cd04,FR15ABOM150820018,train,OK,,0.7723,1,0.62207031,0.56901044,0.35351562,0.56901044,0.35351562,0.42447916,0.62207031,0.42447916,0.1890,2026-08-25T21:59:16+00:00
23847567d6cc4c3f,FR15ABOM150820018,train,OK,,0.8681,1,0.63541663,0.48144528,0.31640622,0.48144528,0.31640622,0.38085935,0.63541663,0.38085935,0.1470,2026-08-25T21:59:16+00:00
415f3ba1a049b9e1,FR15ABOM150820018,train,OK,,0.8408,1,0.65234369,0.49609372,0.31510416,0.49609372,0.31510416,0.39648435,0.65234369,0.39648435,0.1474,2026-08-25T21:59:16+00:00
af0c75d9759875f5,FR15ABOM150820018,train,OK,,0.8911,1,0.64713532,0.46582025,0.30989584,0.46582025,0.30989584,0.36132807,0.64713532,0.36132807,0.1406,2026-08-25T21:59:17+00:00
90054c44163f685a,FR15ABOM170821029,train,OK,,0.5680,1,0.64550781,0.56380200,0.36914065,0.56380200,0.36914062,0.40885410,0.64550781,0.40885410,0.1720,2026-08-25T21:59:17+00:00
5f275ce47bf1aa6e,FR15ABOM170821029,train,OK,,0.2268,1,0.64550781,0.56770831,0.36914062,0.56770831,0.36914062,0.41406250,0.64550781,0.41406250,0.1688,2026-08-25T21:59:17+00:00
ed5f2c84a7ea30c8,FR15ABOM170821029,train,OK,,0.8697,2,0.65104163,0.57812494,0.31510422,0.57812494,0.31510422,0.47070307,0.65104163,0.47070307,0.1502,2026-08-25T21:59:17+00:00
e77bf19de662af84,FR15ABOM170821029,train,OK,,0.8703,2,0.61067706,0.59863275,0.27343753,0.59863275,0.27343753,0.49023432,0.61067706,0.49023432,0.1534,2026-08-25T21:59:17+00:00
8149584fdf26097b,FR15ABOM170821029,train,OK,,0.8150,3,0.56380206,0.62597656,0.22135413,0.62597656,0.22135413,0.50976562,0.56380206,0.50976562,0.1428,2026-08-25T21:59:17+00:00
303af0e2f7cbcfe6,FR15ABOM210821137,train,OK,,0.8158,1,0.65722656,0.57942700,0.36523440,0.57942700,0.36523438,0.41927075,0.65722656,0.41927075,0.1746,2026-08-25T21:59:17+00:00
5fee0d0f0b51942e,FR15ABOM210821137,train,OK,,0.8224,1,0.64941406,0.58463544,0.35742188,0.58463544,0.35742188,0.42447916,0.64941406,0.42447916,0.1800,2026-08-25T21:59:18+00:00
d820dd849dfa6a31,FR15ABOM210821137,train,OK,,0.7943,2,0.61067694,0.51660156,0.25781247,0.51660156,0.25781247,0.40429682,0.61067694,0.40429682,0.1557,2026-08-25T21:59:18+00:00
e7d6997e4d7df086,FR15ABOM210821137,train,OK,,0.7304,2,0.63151038,0.52441400,0.26822913,0.52441400,0.26822913,0.41210932,0.63151038,0.41210932,0.1583,2026-08-25T21:59:18+00:00
3d1dc6a9224ba360,FR15ABOM210821137,train,OK,,0.7801,3,0.57421863,0.50488275,0.21093746,0.50488275,0.21093746,0.39257810,0.57421863,0.39257810,0.1539,2026-08-25T21:59:18+00:00
92c3ebabbe6eb62e,FR15ABOM210821139,train,OK,,0.7684,1,0.65722656,0.55729163,0.37695315,0.55729163,0.37695312,0.40364575,0.65722656,0.40364575,0.1869,2026-08-25T21:59:18+00:00
cc268e948186c45a,FR15ABOM210821139,train,OK,,0.6918,1,0.64941406,0.54817700,0.36523440,0.54817700,0.36523438,0.39843744,0.64941406,0.39843744,0.1817,2026-08-25T21:59:18+00:00
bcf4d5841967ddcd,FR15ABOM210821139,train,OK,,0.8549,3,0.62109369,0.49707028,0.29947913,0.49707028,0.29947913,0.39257810,0.62109369,0.39257810,0.1629,2026-08-25T21:59:19+00:00
3b9b4b55a1fad9b1,FR15ABOM210821139,train,OK,,0.8920,2,0.65234369,0.50878906,0.32031253,0.50878906,0.32031253,0.40820307,0.65234369,0.40820307,0.1500,2026-08-25T21:59:19+00:00
d59ab6fb2a645417,FR15ABOM210821139,train,OK,,0.8827,2,0.59505206,0.52832025,0.26302078,0.52832025,0.26302078,0.41992182,0.59505206,0.41992182,0.1494,2026-08-25T21:59:19+00:00
b2513a410f9c7db4,FR15ABOM210821165,train,OK,,0.4198,1,0.65625000,0.58463544,0.37304688,0.58463544,0.37304688,0.41927084,0.65625000,0.41927084,0.1801,2026-08-25T21:59:19+00:00
09a0ba84119c668e,FR15ABOM210821165,train,OK,,0.8097,1,0.65527344,0.57942706,0.37695312,0.57942706,0.37695312,0.41406250,0.65527344,0.41406250,0.1786,2026-08-25T21:59:19+00:00
16a5e607bbb091de,FR15ABOM210821165,train,OK,,0.9003,2,0.64062494,0.55957025,0.29427078,0.55957025,0.29427078,0.44335932,0.64062494,0.44335932,0.1567,2026-08-25T21:59:19+00:00
4e699793fe35d096,FR15ABOM210821165,train,OK,,0.8981,2,0.61588538,0.55566400,0.27343747,0.55566400,0.27343747,0.43945307,0.61588538,0.43945307,0.1505,2026-08-25T21:59:20+00:00
bc9989011864927c,FR15ABOM210821165,train,OK,,0.9448,2,0.60937494,0.56347650,0.27343747,0.56347650,0.27343747,0.44726557,0.60937494,0.44726557,0.1414,2026-08-25T21:59:20+00:00
917e0938a6c8c870,FR15ABOM210821171,train,OK,,0.8371,1,0.67285156,0.57161456,0.38867188,0.57161456,0.38867188,0.41406250,0.67285156,0.41406250,0.1754,2026-08-25T21:59:20+00:00
221c491db00448f5,FR15ABOM210821171,train,OK,,0.7586,1,0.66113281,0.57421875,0.38085938,0.57421875,0.38085938,0.41406250,0.66113281,0.41406250,0.2085,2026-08-25T21:59:20+00:00
7c0bebb486c52ad1,FR15ABOM210821171,train,OK,,0.9223,2,0.58333331,0.55566400,0.23697913,0.55566400,0.23697913,0.44335932,0.58333331,0.44335932,0.1620,2026-08-25T21:59:20+00:00
d9f6d6fc75935966,FR15ABOM210821171,train,OK,,0.7811,2,0.58463532,0.55957025,0.24218746,0.55957025,0.24218746,0.45117182,0.58463532,0.45117182,0.1368,2026-08-25T21:59:20+00:00
dd47f932e32ab106,FR15ABOM210821171,train,OK,,0.8841,3,0.56249994,0.56347650,0.23177080,0.56347650,0.23177080,0.45507807,0.56249994,0.45507807,0.1316,2026-08-25T21:59:21+00:00
db44fa7f8f049b92,FR15ABOM210821210,train,OK,,0.6348,1,0.67675781,0.57421875,0.39257812,0.57421875,0.39257812,0.41406250,0.67675781,0.41406250,0.1551,2026-08-25T21:59:21+00:00
1219fa3bdb3b1bbc,FR15ABOM210821210,train,OK,,0.7878,1,0.66503906,0.58463544,0.38476562,0.58463544,0.38476562,0.42447916,0.66503906,0.42447916,0.1639,2026-08-25T21:59:21+00:00
12aed0790f7e23c7,FR15ABOM210821210,train,OK,,0.8368,2,0.61067694,0.51171875,0.26822913,0.51171875,0.26822913,0.40039057,0.61067694,0.40039057,0.1381,2026-08-25T21:59:21+00:00
f2ec99c4f7a39258,FR15ABOM210821210,train,OK,,0.8917,2,0.60026038,0.55566400,0.25781247,0.55566400,0.25781247,0.44335932,0.60026038,0.44335932,0.1467,2026-08-25T21:59:21+00:00
c30088cac32e6477,FR15ABOM210821210,train,OK,,0.9022,2,0.55729157,0.57519525,0.21093746,0.57519525,0.21093746,0.47070307,0.55729157,0.47070307,0.1453,2026-08-25T21:59:21+00:00
9962ad4fbcb7cfa2,FR15ABOM210821212,train,OK,,0.5576,1,0.63378906,0.56380200,0.33007815,0.56380200,0.33007812,0.40885410,0.63378906,0.40885410,0.2009,2026-08-25T21:59:22+00:00
0735214df99a29b6,FR15ABOM210821212,train,OK,,0.6218,1,0.64550781,0.55859375,0.34179688,0.55859375,0.34179688,0.40364584,0.64550781,0.40364584,0.2206,2026-08-25T21:59:22+00:00
0d43d3afed072623,FR15ABOM210821212,train,OK,,0.8310,3,0.59895819,0.51660156,0.20572913,0.51660156,0.20572913,0.40429682,0.59895819,0.40429682,0.1306,2026-08-25T21:59:22+00:00
5246006b21152322,FR15ABOM210821212,train,OK,,0.9116,1,0.57942706,0.55566400,0.19531246,0.55566400,0.19531246,0.44335932,0.57942706,0.44335932,0.1212,2026-08-25T21:59:22+00:00
6c793a316c45df8e,FR15ABOM210821212,train,OK,,0.8849,2,0.56770831,0.55957025,0.19531254,0.55957025,0.19531254,0.44726557,0.56770831,0.44726557,0.1325,2026-08-25T21:59:22+00:00
063854e0961efca8,FR15ABOM220821043,train,OK,,0.7163,1,0.66113281,0.58463544,0.36132815,0.58463544,0.36132812,0.42447916,0.66113281,0.42447916,0.1559,2026-08-25T21:59:22+00:00
4a83ba3464b2c498,FR15ABOM220821043,train,OK,,0.8155,1,0.67285156,0.58984375,0.36914065,0.58984375,0.36914062,0.42968750,0.67285156,0.42968750,0.1558,2026-08-25T21:59:22+00:00
47b86baf651bbfd9,FR15ABOM220821043,train,OK,,0.8591,2,0.65755206,0.60253900,0.29947913,0.60253900,0.29947913,0.49804682,0.65755206,0.49804682,0.1366,2026-08-25T21:59:23+00:00
51648e2b0da57f93,FR15ABOM220821043,train,OK,,0.8258,1,0.61458331,0.56542963,0.26302087,0.56542963,0.26302087,0.46289057,0.61458331,0.46289057,0.1340,2026-08-25T21:59:23+00:00
7cc2c4a25e17be0a,FR15ABOM220821043,train,OK,,0.7522,1,0.62109369,0.59472650,0.28385413,0.59472650,0.28385413,0.49414057,0.62109369,0.49414057,0.1887,2026-08-25T21:59:23+00:00
bb4ba89b3b3b17f6,FR15ABOM220821068,train,OK,,0.8146,1,0.66015625,0.57942700,0.37304690,0.57942700,0.37304688,0.41927075,0.66015625,0.41927075,0.2090,2026-08-25T21:59:23+00:00
1086e6c580326114,FR15ABOM220821068,train,OK,,0.7415,1,0.67675781,0.57942700,0.38867190,0.57942700,0.38867188,0.41927075,0.67675781,0.41927075,0.1873,2026-08-25T21:59:23+00:00
2a6fd42740afc3e5,FR15ABOM220821068,train,OK,,0.8351,2,0.58984369,0.56640619,0.25781250,0.56640619,0.25781250,0.46289057,0.58984369,0.46289057,0.1390,2026-08-25T21:59:23+00:00
63dfd0da53c9e4c5,FR15ABOM220821068,train,OK,,0.8688,2,0.58463538,0.57421869,0.24218746,0.57421869,0.24218746,0.47070307,0.58463538,0.47070307,0.1232,2026-08-25T21:59:24+00:00
398b45df2cc9ca09,FR15ABOM220821068,train,OK,,0.8515,2,0.54296863,0.60546869,0.21614580,0.60546869,0.21614580,0.50585932,0.54296863,0.50585932,0.1388,2026-08-25T21:59:24+00:00
1625d333fc11d8e3,FR15ABOM220821070,train,OK,,0.7805,1,0.65917969,0.56380206,0.37695312,0.56380206,0.37695312,0.40364584,0.65917969,0.40364584,0.1678,2026-08-25T21:59:24+00:00
9c8e9be1d580da80,FR15ABOM220821070,train,OK,,0.8418,1,0.67285156,0.56901044,0.39257812,0.56901044,0.39257812,0.40885416,0.67285156,0.40885416,0.1498,2026-08-25T21:59:24+00:00
313bbf85bfd136d5,FR15ABOM220821070,train,OK,,0.8411,1,0.57942706,0.49121088,0.21614587,0.49121088,0.21614587,0.37695307,0.57942706,0.37695307,0.1533,2026-08-25T21:59:24+00:00
31e54dffa524b66b,FR15ABOM220821070,train,OK,,0.8313,1,0.56770819,0.49316400,0.20572913,0.49316400,0.20572913,0.37695307,0.56770819,0.37695307,0.1520,2026-08-25T21:59:24+00:00
9ba3d580fc508400,FR15ABOM220821070,train,OK,,0.7944,2,0.57942706,0.50292963,0.21614580,0.50292963,0.21614580,0.39257810,0.57942706,0.39257810,0.1611,2026-08-25T21:59:24+00:00
7a69b27655238644,FR15_ABOM07082020038,train,OK,,0.7391,2,0.62597656,0.54296869,0.39746097,0.54296869,0.39746094,0.41406247,0.62597656,0.41406247,0.1649,2026-08-25T21:59:25+00:00
