image_id,specimen_id,split,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
3f09a8f1720746dc,ABAURA8607,train,OK,,19,weights,0.1280,2026-08-29T17:21:02+00:00
709feaddd33b2349,2020.03926,train,OK,,19,weights,0.0967,2026-08-29T17:21:02+00:00
40988479bbe56cd8,ABAURA8764,train,OK,,19,weights,0.0906,2026-08-29T17:21:02+00:00
ea31c2f62cbca9b8,N384,train,OK,,19,weights,0.0920,2026-08-29T17:21:02+00:00
e6a91485d1c14e4d,CD388229,train,OK,,19,weights,0.0906,2026-08-29T17:21:02+00:00
a69b635b11615b73,ABAURA8233,train,OK,,19,weights,0.0909,2026-08-29T17:21:02+00:00
65ca1554f59e48c4,N384,train,OK,,19,weights,0.0905,2026-08-29T17:21:02+00:00
61227381834fed1b,ABAURA8764,train,OK,,19,weights,0.0901,2026-08-29T17:21:02+00:00
c6b1a50183838b34,ABAURA8607,train,OK,,19,weights,0.0898,2026-08-29T17:21:03+00:00
cee85e9538e7dd43,N126,train,OK,,19,weights,0.0903,2026-08-29T17:21:03+00:00
175883e8407fa8ee,N126,train,OK,,19,weights,0.0898,2026-08-29T17:21:03+00:00
2b750bd62c8f6f4d,2020.03926,train,OK,,19,weights,0.0912,2026-08-29T17:21:03+00:00
564dccf296e8f4e5,ABAURA8607,train,OK,,19,weights,0.0902,2026-08-29T17:21:03+00:00
06c76fb941770168,ABAURA8764,train,OK,,19,weights,0.0907,2026-08-29T17:21:03+00:00
ea1beeb17e8d37d0,CD388229,train,OK,,19,weights,0.0897,2026-08-29T17:21:03+00:00
73cafeea8d9818da,ABAURA8233,train,OK,,19,weights,0.0894,2026-08-29T17:21:03+00:00
a002109b317df53c,N126,train,OK,,19,weights,0.0958,2026-08-29T17:21:03+00:00
6424af4c78450a46,ABAURA8238,train,OK,,19,weights,0.0926,2026-08-29T17:21:03+00:00
bfecd0ec8c09446a,POLLINIS4351,train,OK,,19,weights,0.0903,2026-08-29T17:21:03+00:00
ba294fef165fb616,2019.02175,train,OK,,19,weights,0.0889,2026-08-29T17:21:04+00:00
33954f876ec491d1,N384,train,OK,,19,weights,0.0916,2026-08-29T17:21:04+00:00
1bc63ac1f09f46ae,CD388230,train,OK,,19,weights,0.0901,2026-08-29T17:21:04+00:00
7113a4c15177bd3b,CD388230,train,OK,,19,weights,0.0897,2026-08-29T17:21:04+00:00
b2bf19ff2c5c304f,ABAURA8747,train,OK,,19,weights,0.0901,2026-08-29T17:21:04+00:00
48f782cf192f6816,N384,train,OK,,19,weights,0.0884,2026-08-29T17:21:04+00:00
d000587b89de9bb6,ABAURA8238,train,OK,,19,weights,0.0890,2026-08-29T17:21:04+00:00
e4582e4012d5b47e,N126,train,OK,,19,weights,0.0893,2026-08-29T17:21:04+00:00
f4ca140aad24aa5b,POLLINIS4351,train,OK,,19,weights,0.0885,2026-08-29T17:21:04+00:00
8b7a4b7728e524de,2019.02175,train,OK,,19,weights,0.0923,2026-08-29T17:21:04+00:00
4c35a5941492dc30,CD388230,train,OK,,19,weights,0.0924,2026-08-29T17:21:04+00:00
68998ab062f632f4,ABAURA8747,train,OK,,19,weights,0.0929,2026-08-29T17:21:05+00:00
