image_id,specimen_id,split,collector,device_type,shot_index,raw_path,source_root,naming,ext,file_size_bytes,content_hash,status_ingest,is_duplicate_content
7d4d4b58cd03a62f,FR15ABOM060621003,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/queen/FR15ABOM060621003_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,608057,7d4d4b58cd03a62f,parsed_ok,False
2c8ea2b2cbf8c506,FR15ABOM170821120,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15ABOM170821120_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,329228,2c8ea2b2cbf8c506,parsed_ok,False
a27fb2f758c0cd4e,NoName6,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/NoName6_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,422031,a27fb2f758c0cd4e,parsed_ok,False
53f0687d75dc891e,NoName7,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/NoName7_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,452121,53f0687d75dc891e,parsed_ok,False
bfc083f5e58f98cb,CollecYvan10,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/CollecYvan10_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,601041,bfc083f5e58f98cb,parsed_ok,False
00ea6c23df34943f,CollecYvan11,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/CollecYvan11_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,565067,00ea6c23df34943f,parsed_ok,False
edac55944c4f2aa1,FR15ABOM210821211,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15ABOM210821211_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,465807,edac55944c4f2aa1,parsed_ok,False
de8cc19a4a0cf858,FR15ABOM210821112,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15ABOM210821112_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,472334,de8cc19a4a0cf858,parsed_ok,False
17c61e59907c4306,FR15ABOM170821115,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15ABOM170821115_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,447400,17c61e59907c4306,parsed_ok,False
429fd1473678aac6,FR15ABOM210821125,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15ABOM210821125_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,572026,429fd1473678aac6,parsed_ok,False
7151c5a538b7b384,FR15_ABOM07082020049,train,,P,1,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_confusus/worker/FR15_ABOM07082020049_P1.JPG,/Volumes/EXT DATA/IDMB/images/Tancrede/collection,organized_underscore,.jpg,398767,7151c5a538b7b384,parsed_ok,False
