image_id,specimen_id,raw_path,split,status,x1,y1,x2,y2,x3,y3,x4,y4
622cf37f9463bd75,FR15ABOM150820018,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM150820018_P1.JPG,test,OK,0.35742188,0.4140625,0.62597656,0.4140625,0.62597656,0.55859375,0.35742188,0.55859375
54838c3f42c9cd04,FR15ABOM150820018,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM150820018_P2.JPG,test,OK,0.35351562,0.42447916,0.62207031,0.42447916,0.62207031,0.56901044,0.35351562,0.56901044
23847567d6cc4c3f,FR15ABOM150820018,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM150820018_S1.jpg,test,OK,0.31640622,0.38085935,0.63541663,0.38085935,0.63541663,0.48144528,0.31640622,0.48144528
415f3ba1a049b9e1,FR15ABOM150820018,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM150820018_S2.jpg,test,OK,0.31510416,0.39648435,0.65234369,0.39648435,0.65234369,0.49609372,0.31510416,0.49609372
af0c75d9759875f5,FR15ABOM150820018,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM150820018_S3.jpg,test,OK,0.30989584,0.36132807,0.64713532,0.36132807,0.64713532,0.46582025,0.30989584,0.46582025
90054c44163f685a,FR15ABOM170821029,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM170821029_P1.JPG,val,OK,0.36914062,0.4088541,0.64550781,0.4088541,0.64550781,0.563802,0.36914065,0.563802
5f275ce47bf1aa6e,FR15ABOM170821029,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM170821029_P2.JPG,val,OK,0.36914062,0.4140625,0.64550781,0.4140625,0.64550781,0.56770831,0.36914062,0.56770831
ed5f2c84a7ea30c8,FR15ABOM170821029,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM170821029_S1.jpg,val,OK,0.31510422,0.47070307,0.65104163,0.47070307,0.65104163,0.57812494,0.31510422,0.57812494
e77bf19de662af84,FR15ABOM170821029,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM170821029_S2.jpg,val,OK,0.27343753,0.49023432,0.61067706,0.49023432,0.61067706,0.59863275,0.27343753,0.59863275
8149584fdf26097b,FR15ABOM170821029,D:\IDMB\images\Bombus\organized\Bombus_confusus\male\FR15ABOM170821029_S3.jpg,val,OK,0.22135413,0.50976562,0.56380206,0.50976562,0.56380206,0.62597656,0.22135413,0.62597656
