image_id,specimen_id,dataset,status,error_reason,confidence,aspect_ratio,x1,y1,x2,y2,x3,y3,x4,y4,output_path,processing_time_s,processed_at
622cf37f9463bd75,FR15ABOM150820018,organized,OK,,0.7605,2.3792,0.62541205,0.55912042,0.35903296,0.55431479,0.36054787,0.40503132,0.62692690,0.40983698,data\crops_obb\organized\organized_FR15ABOM150820018_FR15ABOM150820018_P1_622cf37f9463bd75.jpg,1.3064,2026-08-20T19:45:23+00:00
54838c3f42c9cd04,FR15ABOM150820018,organized,OK,,0.8402,2.4245,0.62048262,0.57018119,0.35578683,0.56450874,0.35754159,0.41893941,0.62223738,0.42461187,data\crops_obb\organized\organized_FR15ABOM150820018_FR15ABOM150820018_P2_54838c3f42c9cd04.jpg,0.4166,2026-08-20T19:45:24+00:00
23847567d6cc4c3f,FR15ABOM150820018,organized,OK,,0.8782,2.3721,0.31725615,0.48600814,0.31239715,0.38350844,0.63658434,0.37486386,0.64144331,0.47736356,data\crops_obb\organized\organized_FR15ABOM150820018_FR15ABOM150820018_S1_23847567d6cc4c3f.jpg,0.3338,2026-08-20T19:45:24+00:00
415f3ba1a049b9e1,FR15ABOM150820018,organized,OK,,0.6314,2.2295,0.33616111,0.50643146,0.32879493,0.39971867,0.64601868,0.38740143,0.65338492,0.49411425,data\crops_obb\organized\organized_FR15ABOM150820018_FR15ABOM150820018_S2_415f3ba1a049b9e1.jpg,0.2453,2026-08-20T19:45:24+00:00
af0c75d9759875f5,FR15ABOM150820018,organized,OK,,0.4830,2.3763,0.30880240,0.47172627,0.30365074,0.36453667,0.64326721,0.35535532,0.64841884,0.46254492,data\crops_obb\organized\organized_FR15ABOM150820018_FR15ABOM150820018_S3_af0c75d9759875f5.jpg,0.2452,2026-08-20T19:45:25+00:00
90054c44163f685a,FR15ABOM170821029,organized,OK,,0.8101,2.2836,0.37399337,0.56755155,0.37102804,0.40698892,0.64601964,0.39796028,0.64898497,0.55852288,data\crops_obb\organized\organized_FR15ABOM170821029_FR15ABOM170821029_P1_90054c44163f685a.jpg,0.3566,2026-08-20T19:45:25+00:00
5f275ce47bf1aa6e,FR15ABOM170821029,organized,OK,,0.9574,2.2340,0.64449888,0.57427782,0.37132767,0.57196331,0.37210470,0.40892377,0.64527589,0.41123828,data\crops_obb\organized\organized_FR15ABOM170821029_FR15ABOM170821029_P2_5f275ce47bf1aa6e.jpg,0.3568,2026-08-20T19:45:25+00:00
ed5f2c84a7ea30c8,FR15ABOM170821029,organized,OK,,0.7785,2.2871,0.31373143,0.58562553,0.31007883,0.47280836,0.65410513,0.46654305,0.65775770,0.57936025,data\crops_obb\organized\organized_FR15ABOM170821029_FR15ABOM170821029_S1_ed5f2c84a7ea30c8.jpg,0.2133,2026-08-20T19:45:26+00:00
e77bf19de662af84,FR15ABOM170821029,organized,OK,,0.8865,2.2622,0.27261207,0.60767436,0.26608589,0.49302989,0.61188453,0.48195720,0.61841071,0.59660172,data\crops_obb\organized\organized_FR15ABOM170821029_FR15ABOM170821029_S2_e77bf19de662af84.jpg,0.2264,2026-08-20T19:45:26+00:00
8149584fdf26097b,FR15ABOM170821029,organized,OK,,0.9636,2.2927,0.21989976,0.63152421,0.21396917,0.51595247,0.56726080,0.50575489,0.57319140,0.62132663,data\crops_obb\organized\organized_FR15ABOM170821029_FR15ABOM170821029_S3_8149584fdf26097b.jpg,0.2328,2026-08-20T19:45:26+00:00
303af0e2f7cbcfe6,FR15ABOM210821137,organized,OK,,0.9776,2.2971,0.65227443,0.58963865,0.36388832,0.57780737,0.36775121,0.41041452,0.65613735,0.42224577,data\crops_obb\organized\organized_FR15ABOM210821137_FR15ABOM210821137_P1_303af0e2f7cbcfe6.jpg,0.3021,2026-08-20T19:45:26+00:00
5fee0d0f0b51942e,FR15ABOM210821137,organized,OK,,0.9424,2.3191,0.64439797,0.59418410,0.35642138,0.57804966,0.36163926,0.41248220,0.64961582,0.42861664,data\crops_obb\organized\organized_FR15ABOM210821137_FR15ABOM210821137_P2_5fee0d0f0b51942e.jpg,0.3200,2026-08-20T19:45:27+00:00
d820dd849dfa6a31,FR15ABOM210821137,organized,OK,,0.8287,2.2640,0.60554999,0.52022976,0.25411114,0.51584977,0.25669062,0.39942896,0.60812944,0.40380895,data\crops_obb\organized\organized_FR15ABOM210821137_FR15ABOM210821137_S1_d820dd849dfa6a31.jpg,0.2186,2026-08-20T19:45:27+00:00
e7d6997e4d7df086,FR15ABOM210821137,organized,OK,,0.9432,2.3297,0.26811880,0.52534211,0.26780054,0.40960234,0.62732255,0.40904623,0.62764084,0.52478606,data\crops_obb\organized\organized_FR15ABOM210821137_FR15ABOM210821137_S2_e7d6997e4d7df086.jpg,0.2006,2026-08-20T19:45:27+00:00
3d1dc6a9224ba360,FR15ABOM210821137,organized,OK,,0.9552,2.3429,0.21120699,0.50727421,0.20856230,0.39109272,0.57149649,0.38644552,0.57414114,0.50262702,data\crops_obb\organized\organized_FR15ABOM210821137_FR15ABOM210821137_S3_3d1dc6a9224ba360.jpg,0.2087,2026-08-20T19:45:27+00:00
92c3ebabbe6eb62e,FR15ABOM210821139,organized,FAILED,aucune_detection,,,,,,,,,,,,0.1512,2026-08-20T19:45:28+00:00
cc268e948186c45a,FR15ABOM210821139,organized,OK,,0.9622,2.3940,0.65321302,0.55466640,0.37085316,0.54620886,0.37350273,0.38894889,0.65586263,0.39740646,data\crops_obb\organized\organized_FR15ABOM210821139_FR15ABOM210821139_P2_cc268e948186c45a.jpg,0.2983,2026-08-20T19:45:28+00:00
bcf4d5841967ddcd,FR15ABOM210821139,organized,OK,,0.9068,2.2344,0.31524238,0.50641674,0.30589196,0.40139747,0.61876470,0.38572803,0.62811512,0.49074730,data\crops_obb\organized\organized_FR15ABOM210821139_FR15ABOM210821139_S1_bcf4d5841967ddcd.jpg,0.2186,2026-08-20T19:45:28+00:00
3b9b4b55a1fad9b1,FR15ABOM210821139,organized,OK,,0.8973,2.2567,0.33959502,0.51547629,0.33495337,0.41024545,0.65159285,0.40238911,0.65623450,0.50761998,data\crops_obb\organized\organized_FR15ABOM210821139_FR15ABOM210821139_S2_3b9b4b55a1fad9b1.jpg,0.2137,2026-08-20T19:45:28+00:00
d59ab6fb2a645417,FR15ABOM210821139,organized,OK,,0.7468,2.2706,0.27609271,0.53320897,0.27101669,0.42466763,0.59962779,0.41602319,0.60470378,0.52456445,data\crops_obb\organized\organized_FR15ABOM210821139_FR15ABOM210821139_S3_d59ab6fb2a645417.jpg,0.2154,2026-08-20T19:45:29+00:00
b2513a410f9c7db4,FR15ABOM210821165,organized,OK,,0.9805,2.2631,0.65952730,0.58481020,0.37514362,0.58285588,0.37579131,0.41531125,0.66017491,0.41726556,data\crops_obb\organized\organized_FR15ABOM210821165_FR15ABOM210821165_P1_b2513a410f9c7db4.jpg,0.2924,2026-08-20T19:45:29+00:00
09a0ba84119c668e,FR15ABOM210821165,organized,OK,,0.9751,2.2513,0.37746108,0.58325720,0.37489218,0.41580170,0.65764004,0.40809035,0.66020894,0.57554585,data\crops_obb\organized\organized_FR15ABOM210821165_FR15ABOM210821165_P2_09a0ba84119c668e.jpg,0.2744,2026-08-20T19:45:29+00:00
16a5e607bbb091de,FR15ABOM210821165,organized,OK,,0.9698,2.2514,0.29156935,0.56268716,0.29032323,0.44443303,0.64530212,0.44232899,0.64654821,0.56058306,data\crops_obb\organized\organized_FR15ABOM210821165_FR15ABOM210821165_S1_16a5e607bbb091de.jpg,0.2151,2026-08-20T19:45:29+00:00
4e699793fe35d096,FR15ABOM210821165,organized,OK,,0.9559,2.2998,0.27058530,0.56173456,0.26505902,0.44761506,0.61499858,0.43808305,0.62052482,0.55220258,data\crops_obb\organized\organized_FR15ABOM210821165_FR15ABOM210821165_S2_4e699793fe35d096.jpg,0.2363,2026-08-20T19:45:30+00:00
bc9989011864927c,FR15ABOM210821165,organized,OK,,0.9561,2.2719,0.27327171,0.56637341,0.26958013,0.45184758,0.61649865,0.44555753,0.62019020,0.56008345,data\crops_obb\organized\organized_FR15ABOM210821165_FR15ABOM210821165_S3_bc9989011864927c.jpg,0.2364,2026-08-20T19:45:30+00:00
917e0938a6c8c870,FR15ABOM210821171,organized,OK,,0.8703,2.1997,0.66653711,0.58097821,0.38829416,0.57264513,0.39113531,0.40399370,0.66937822,0.41232675,data\crops_obb\organized\organized_FR15ABOM210821171_FR15ABOM210821171_P1_917e0938a6c8c870.jpg,0.3254,2026-08-20T19:45:30+00:00
221c491db00448f5,FR15ABOM210821171,organized,OK,,0.9634,2.2028,0.65346223,0.58206826,0.37574655,0.56807560,0.38051078,0.39997557,0.65822643,0.41396821,data\crops_obb\organized\organized_FR15ABOM210821171_FR15ABOM210821171_P2_221c491db00448f5.jpg,0.3363,2026-08-20T19:45:30+00:00
7c0bebb486c52ad1,FR15ABOM210821171,organized,OK,,0.7463,2.2481,0.24150553,0.55823189,0.23790212,0.44399571,0.58032721,0.43792003,0.58393061,0.55215621,data\crops_obb\organized\organized_FR15ABOM210821171_FR15ABOM210821171_S1_7c0bebb486c52ad1.jpg,0.2435,2026-08-20T19:45:31+00:00
d9f6d6fc75935966,FR15ABOM210821171,organized,OK,,0.9396,2.2458,0.24113789,0.56597567,0.23701705,0.45136413,0.58020401,0.44442332,0.58432484,0.55903488,data\crops_obb\organized\organized_FR15ABOM210821171_FR15ABOM210821171_S2_d9f6d6fc75935966.jpg,0.2504,2026-08-20T19:45:31+00:00
