id,n_outlier_landmarks,heavy
0,3,False
1,4,False
2,2,False
3,3,False
4,3,False
5,1,False
6,1,False
7,1,False
8,1,False
9,1,False
10,1,False
11,1,False
12,1,False
13,1,False
14,1,False
15,2,False
16,3,False
17,2,False
18,2,False
19,1,False
20,2,False
21,1,False
22,2,False
23,2,False
24,2,False
25,2,False
26,2,False
27,2,False
28,1,False
29,1,False
30,1,False
31,1,False
32,1,False
33,1,False
34,1,False
35,6,False
36,6,False
37,6,False
38,6,False
39,6,False
40,3,False
41,2,False
42,2,False
43,3,False
44,3,False
45,0,False
46,0,False
47,1,False
48,1,False
49,1,False
50,2,False
51,2,False
52,1,False
53,1,False
54,1,False
55,4,False
56,3,False
57,3,False
58,5,False
59,2,False
60,3,False
61,15,True
62,6,False
63,2,False
64,2,False
65,3,False
66,3,False
67,2,False
68,3,False
69,3,False
70,2,False
71,4,False
72,2,False
73,1,False
74,2,False
75,3,False
76,4,False
77,3,False
78,1,False
79,2,False
80,0,False
81,1,False
82,2,False
83,1,False
84,1,False
85,2,False
86,2,False
87,2,False
88,2,False
89,2,False
90,1,False
91,2,False
92,2,False
93,2,False
94,2,False
95,2,False
96,2,False
97,2,False
98,2,False
99,2,False
100,2,False
101,1,False
102,1,False
103,0,False
104,1,False
105,0,False
106,1,False
107,0,False
108,0,False
109,0,False
111,0,False
113,17,True
114,0,False
115,0,False
116,0,False
117,0,False
118,0,False
119,0,False
120,0,False
121,0,False
122,1,False
123,0,False
124,0,False
125,1,False
126,2,False
127,1,False
128,2,False
129,1,False
130,0,False
131,0,False
132,0,False
133,0,False
134,0,False
135,0,False
136,13,True
137,0,False
138,12,True
139,4,False
140,12,True
141,1,False
142,0,False
143,14,True
144,2,False
145,1,False
146,13,True
147,0,False
148,0,False
149,0,False
150,0,False
151,0,False
152,0,False
153,0,False
154,0,False
155,0,False
156,0,False
157,0,False
158,1,False
159,1,False
160,0,False
161,0,False
162,0,False
163,0,False
165,0,False
166,0,False
167,0,False
168,0,False
169,0,False
170,0,False
171,0,False
172,1,False
173,1,False
174,1,False
