image_id,specimen_id,dataset,detection_status,normalization_status,error_reason,confidence,selection_score,n_detections,aspect_ratio,x1,y1,x2,y2,x3,y3,x4,y4,output_path,processing_time_s,processed_at
622cf37f9463bd75,FR15ABOM150820018,organized,OK,OK,,0.9033,,2,2.3918,0.61970669,0.56472677,0.62324655,0.41706312,0.35836059,0.40577424,0.35482070,0.55343789,data\crops\light\organized\organized_FR15ABOM150820018_P1_622cf37f9463bd75.jpg,1.1407,2026-08-21T12:11:59+00:00
54838c3f42c9cd04,FR15ABOM150820018,organized,OK,OK,,0.9393,,1,2.4280,0.61904275,0.57287812,0.62173390,0.42729741,0.35662791,0.41858512,0.35393676,0.56416583,data\crops\light\organized\organized_FR15ABOM150820018_P2_54838c3f42c9cd04.jpg,0.3032,2026-08-21T12:11:59+00:00
23847567d6cc4c3f,FR15ABOM150820018,organized,OK,OK,,0.7539,,2,2.3762,0.63710052,0.48097834,0.63518631,0.37945071,0.31351355,0.38286221,0.31542778,0.48438984,data\crops\light\organized\organized_FR15ABOM150820018_S1_23847567d6cc4c3f.jpg,0.2392,2026-08-21T12:12:00+00:00
415f3ba1a049b9e1,FR15ABOM150820018,organized,OK,OK,,0.9404,,1,2.3810,0.64925039,0.50220990,0.64993638,0.39442042,0.30774522,0.39319536,0.30705917,0.50098485,data\crops\light\organized\organized_FR15ABOM150820018_S2_415f3ba1a049b9e1.jpg,0.2285,2026-08-21T12:12:00+00:00
af0c75d9759875f5,FR15ABOM150820018,organized,OK,OK,,0.9515,,1,2.4121,0.64341861,0.46786192,0.64474028,0.36151230,0.30271196,0.35912126,0.30139026,0.46547091,data\crops\light\organized\organized_FR15ABOM150820018_S3_af0c75d9759875f5.jpg,0.2183,2026-08-21T12:12:00+00:00
90054c44163f685a,FR15ABOM170821029,organized,OK,OK,,0.9510,,1,2.3118,0.64632177,0.56820756,0.64710653,0.40700445,0.36760494,0.40458572,0.36682025,0.56578887,data\crops\light\organized\organized_FR15ABOM170821029_P1_90054c44163f685a.jpg,0.2757,2026-08-21T12:12:00+00:00
5f275ce47bf1aa6e,FR15ABOM170821029,organized,OK,OK,,0.9631,,1,2.2923,0.64420521,0.57865286,0.64653879,0.41613474,0.36712760,0.40900227,0.36479402,0.57152033,data\crops\light\organized\organized_FR15ABOM170821029_P2_5f275ce47bf1aa6e.jpg,0.2854,2026-08-21T12:12:01+00:00
ed5f2c84a7ea30c8,FR15ABOM170821029,organized,OK,OK,,0.9477,,1,2.2993,0.65763462,0.58105171,0.65504694,0.46840322,0.30969557,0.47286570,0.31228328,0.58551419,data\crops\light\organized\organized_FR15ABOM170821029_S1_ed5f2c84a7ea30c8.jpg,0.1990,2026-08-21T12:12:01+00:00
e77bf19de662af84,FR15ABOM170821029,organized,OK,OK,,0.9093,,2,2.2924,0.61227173,0.60088289,0.61023825,0.48810896,0.26554155,0.49160504,0.26757503,0.60437894,data\crops\light\organized\organized_FR15ABOM170821029_S2_e77bf19de662af84.jpg,0.2026,2026-08-21T12:12:01+00:00
8149584fdf26097b,FR15ABOM170821029,organized,OK,OK,,0.9683,,1,2.3306,0.56843388,0.62592763,0.56771719,0.51197970,0.21362957,0.51323241,0.21434624,0.62718034,data\crops\light\organized\organized_FR15ABOM170821029_S3_8149584fdf26097b.jpg,0.1968,2026-08-21T12:12:01+00:00
